epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,33664.3,1.47324,2.42973,2.12788,0.01468,1.29085,0.53691,0.47173,0.47435,0.28683,0.52605,0.44516,0.44757,0.2521,1.57183,2.53745,2.20512,0.02312,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,34461.1,1.47075,2.42185,2.11456,0.01463,1.28248,0.56917,0.45583,0.48108,0.28774,0.55298,0.43951,0.45301,0.25161,1.58263,2.55253,2.19388,0.02342,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,35258.3,1.47174,2.42345,2.09919,0.01462,1.26638,0.54674,0.48115,0.48477,0.28905,0.5302,0.45988,0.45098,0.25269,1.57893,2.54595,2.18973,0.02336,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,36053.9,1.46856,2.41413,2.09266,0.01448,1.26153,0.56963,0.47437,0.48954,0.29464,0.55632,0.45727,0.46395,0.26067,1.57908,2.5366,2.18278,0.02338,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,36850,1.45998,2.40787,2.07,0.01438,1.2628,0.57436,0.46956,0.49529,0.30031,0.56561,0.44859,0.46393,0.2628,1.57028,2.53509,2.17947,0.0231,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,37647.6,1.45581,2.37466,2.0571,0.01434,1.24864,0.56145,0.47561,0.49417,0.2986,0.55907,0.45115,0.46392,0.26096,1.57235,2.53307,2.16033,0.02317,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,38444.9,1.45154,2.37321,2.04648,0.01427,1.23363,0.56916,0.46848,0.4918,0.30322,0.56358,0.45643,0.46595,0.26442,1.57054,2.52939,2.15252,0.0229,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,39242.2,1.44842,2.37305,2.02742,0.01426,1.22938,0.57093,0.4726,0.49346,0.30273,0.55891,0.45778,0.46676,0.26401,1.56197,2.53224,2.15486,0.02279,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,40039.4,1.44989,2.35371,2.02112,0.01419,1.2332,0.57146,0.47811,0.49732,0.30634,0.57142,0.45522,0.4682,0.26636,1.57172,2.52712,2.13954,0.02293,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,40836.7,1.44507,2.34784,2.00674,0.01411,1.21063,0.58202,0.48062,0.50269,0.30931,0.5663,0.46105,0.4721,0.26954,1.56752,2.5303,2.13122,0.02294,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,41633.8,1.44107,2.3461,1.99051,0.01415,1.20829,0.57374,0.49362,0.50597,0.30996,0.56245,0.47,0.47599,0.26883,1.56554,2.52225,2.12854,0.023,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,42431.5,1.42797,2.32988,1.97923,0.01405,1.18836,0.58902,0.48116,0.50797,0.31091,0.58723,0.45809,0.47844,0.27195,1.56427,2.52537,2.12637,0.02299,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,43229.4,1.43489,2.32566,1.96185,0.01404,1.19411,0.57632,0.49245,0.50912,0.31336,0.5859,0.46368,0.48065,0.27434,1.55567,2.52758,2.12297,0.02272,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,44026.6,1.42513,2.29236,1.95441,0.014,1.18241,0.58692,0.49131,0.50977,0.31391,0.5765,0.47081,0.47916,0.27391,1.53999,2.51488,2.13464,0.0224,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,44824.3,1.42097,2.29632,1.93742,0.01407,1.17257,0.59077,0.48421,0.51022,0.31521,0.59477,0.45288,0.47947,0.27419,1.54388,2.51628,2.12002,0.02246,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,45621.4,1.41853,2.28829,1.93435,0.01382,1.16479,0.59466,0.48685,0.51139,0.3149,0.58391,0.46973,0.48227,0.27547,1.54743,2.51567,2.12163,0.02257,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,46419.2,1.41156,2.27382,1.92529,0.01378,1.14618,0.57999,0.48957,0.51095,0.31692,0.59138,0.46039,0.4837,0.27621,1.534,2.52224,2.12352,0.02228,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,47216.7,1.40838,2.25673,1.90111,0.01369,1.14904,0.57054,0.49589,0.50975,0.31629,0.56606,0.47398,0.48326,0.27476,1.53633,2.53043,2.12149,0.02225,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,48013.5,1.41008,2.2454,1.88477,0.01367,1.1312,0.57265,0.48881,0.50722,0.31605,0.55597,0.47397,0.47928,0.27469,1.53435,2.53001,2.119,0.02219,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,48810.2,1.40218,2.24193,1.87743,0.01369,1.13305,0.58486,0.49616,0.51229,0.31936,0.56863,0.47622,0.48315,0.27721,1.53867,2.53279,2.11253,0.02224,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,49607.6,1.39646,2.23567,1.85804,0.01366,1.12012,0.57757,0.49876,0.51575,0.32067,0.56853,0.47428,0.48467,0.27845,1.54565,2.53854,2.10926,0.02244,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,50404.6,1.38721,2.20741,1.8434,0.01336,1.11766,0.58664,0.49837,0.51988,0.32342,0.58873,0.47193,0.48914,0.28072,1.55023,2.53912,2.11217,0.02249,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
